Sample	min:D11:0	max:D11:0	min:D11:1	max:D11:1	min:D11:2	max:D11:2	min:D11:3	max:D11:3	min:D11:4	max:D11:4	min:D11:5	max:D11:5	min:D11:6	max:D11:6	min:D11:7	max:D11:7
1804	0.745617610350024	0.9372776170046393	0.745617610350024	22.559412039617285	0.745617610350024	0.9372776170046393	0.745617610350024	0.9372776170046393	0.745617610350024	4.845782252653663	0.745617610350024	0.9372776170046393	14.509020025907972	42.97876983571925	23.776717309202468	156.08286281152147
1805	0.7145486278973863	0.947407943008244	0.7145486278973863	23.73867159255579	0.7145486278973863	0.947407943008244	0.7145486278973863	0.947407943008244	0.7145486278973863	4.675259914789137	0.7145486278973863	0.947407943008244	14.545968633019726	40.00150305055982	27.11844606127366	164.22875319690516
1806	0.6855972338342156	0.6872455838147573	0.6855972338342156	21.258156185686744	0.6855972338342156	0.6872455838147573	0.6855972338342156	0.6872455838147573	0.6855972338342156	0.6872455838147573	0.6855972338342156	0.6872455838147573	13.72211503582605	40.09616270079542	27.641987690970097	174.81148847217483
1807	0.6560097348734075	0.815258721594887	0.6560097348734075	20.911652827962854	0.6560097348734075	0.815258721594887	0.6560097348734075	0.7067836692642118	0.6560097348734075	0.7067836692642118	0.6560097348734075	0.7067836692642118	12.856889610107174	38.282520575094196	27.024162150800407	169.3922315856967
1808	0.6965916454423393	0.9746261723314831	0.6965916454423393	21.16203173621807	0.6965916454423393	0.8342893459426648	0.6965916454423393	0.9746261723314831	0.6965916454423393	5.523346517560952	0.6965916454423393	0.8342893459426648	14.72256273226472	39.86891688142407	27.324516783089052	186.67466667077323
1809	0.6508670684000322	0.7805657032581905	0.6508670684000322	24.36201035766348	0.6508670684000322	0.7805657032581905	0.6508670684000322	1.1454072098132713	0.6508670684000322	4.51673589699206	0.6508670684000322	1.1454072098132713	13.88483640311037	37.809721504098434	24.36201035766348	158.02367862553274
1810	0.5982100800791272	1.0057014604550432	0.5982100800791272	22.542178779713453	0.5982100800791272	1.0057014604550432	0.5982100800791272	1.0057014604550432	0.5982100800791272	4.611535406767587	0.5982100800791272	1.0057014604550432	13.566277739662496	36.04906541418157	25.57252428833874	192.68227589038543
1811	0.6946424272600495	1.118887109791956	0.6946424272600495	28.611780669373076	0.6946424272600495	1.118887109791956	0.6946424272600495	1.118887109791956	0.6946424272600495	5.350093109985835	0.6946424272600495	1.118887109791956	12.94642127605752	36.3605112114729	27.223289077830003	191.3849895127035
1812	0.6513578718984547	0.6943550051510954	0.6513578718984547	23.230971844667323	0.6513578718984547	0.6943550051510954	0.6513578718984547	0.6943550051510954	0.6513578718984547	0.6943550051510954	0.6513578718984547	0.6943550051510954	13.324232752186504	36.170395887091644	23.230971844667323	168.37172823073706
1813	0.7087652865322411	1.617213986329773	0.6816078046200857	22.13358824314426	0.7087652865322411	1.617213986329773	0.6816078046200857	0.7055770556642926	0.6816078046200857	0.7055770556642926	0.6816078046200857	0.7055770556642926	14.257666738523909	41.83679312168749	28.867453334280185	193.85472035613236
