iteration	time	leafsWith	leafsWithout	resultingClade	incomingClade	segments
4	1.7247703251156281	31	6	HPAI	LPAI	{6}
4	2.2538840999919216	1	1	LPAI	LPAI	{3}
4	229.52308420167716	364	6	unknown	LPAI	{3}
4	3.2717335472802347	25	2	HPAI	LPAI	{4, 6}
4	3.3394989606817944	1	53	HPAI	HPAI	{1, 2, 5, 7}
4	1.6612154732238764	1	30	HPAI	LPAI	{6}
4	3.131343955944601	4	2	HPAI	LPAI	{3}
4	2.973165982090052	1	1	HPAI	LPAI	{4}
4	1.6192855054301845	1	1	HPAI	LPAI	{4}
4	2.6834717327483872	62	2	HPAI	LPAI	{5, 6}
4	2.813273594334305	4	1	HPAI	LPAI	{5, 6}
4	1.5966996037292347	2	2	HPAI	LPAI	{4, 6}
4	2.3716264721159632	1	1	HPAI	HPAI	{3, 6}
4	2.614124118207485	1	2	LPAI	LPAI	{6}
4	151.13292084948907	3	3	LPAI	LPAI	{1}
4	3.2487880976551082	25	6	HPAI	LPAI	{4, 6}
4	3.2415225959001077	3	1	LPAI	LPAI	{3, 5}
4	0.48639415231588146	1	1	HPAI	LPAI	{1}
4	3.021948098794951	2	1	HPAI	HPAI	{2, 3, 7}
4	1.518979071087415	1	2	HPAI	LPAI	{4, 5, 7}
4	0.6351160589020992	1	6	HPAI	HPAI	{2, 5}
4	2.6998563526490784	1	4	HPAI	HPAI	{1, 2, 4}
4	32.82170968488117	1	3	LPAI	LPAI	{5, 7}
4	4.815740346963366	5	346	HPAI	LPAI	{1, 3, 4, 5, 6, 7}
4	2.646155995920765	1	1	HPAI	HPAI	{2}
4	2.6259629188106715	1	2	HPAI	HPAI	{1, 4}
4	3.2392682779559436	30	23	HPAI	LPAI	{7}
4	3.082295501075123	1	1	HPAI	HPAI	{5, 7}
4	0.853913870041481	27	8	HPAI	LPAI	{1}
4	2.7945343490613936	1	1	HPAI	HPAI	{3}
4	1.454604347071836	28	2	HPAI	LPAI	{4, 6}
4	3.042908593951836	1	1	HPAI	HPAI	{3}
4	3.3841918361517855	54	4	HPAI	LPAI	{4, 5, 6}
4	1.3276246379153918	35	1	HPAI	LPAI	{4, 6, 7}
4	7.729413487250554	2	1	LPAI	LPAI	{1}
4	2.718422536720084	5	4	HPAI	LPAI	{6}
4	4.079413086438706	1	1	LPAI	LPAI	{4, 5, 6}
4	1.9364516314300886	6	1	HPAI	LPAI	{5, 6, 7}
4	3.3060837621512746	149	32	HPAI	LPAI	{3, 4, 5, 6}
4	0.597908720671569	1	6	HPAI	LPAI	{7}
4	2.878811717560211	17	1	HPAI	LPAI	{5, 6, 7}
4	3.2044028097001274	9	24	HPAI	HPAI	{3, 5, 7}
4	0.531284176059728	1	3	HPAI	LPAI	{6}
5	2.384126784896921	1	1	HPAI	HPAI	{3, 6}
5	2.876977602265356	1	2	HPAI	HPAI	{3, 4}
5	3.365767165346597	54	2	HPAI	LPAI	{4, 5, 6}
5	3.921264350902561	1	1	LPAI	LPAI	{4}
