Sample	min:cow:0	max:cow:0	min:cow:1	max:cow:1	min:cow:2	max:cow:2	min:cow:3	max:cow:3	min:cow:4	max:cow:4	min:cow:5	max:cow:5	min:cow:6	max:cow:6	min:cow:7	max:cow:7
51	1.0725109996793378	1.5498652122564351	1.0725109996793378	1.5498652122564351	1.0725109996793378	1.5498652122564351	1.0725109996793378	1.4706541724823126	1.0725109996793378	5.880264709038471	1.0725109996793378	1.5498652122564351	1.0725109996793378	3.0304017732316026	1.0725109996793378	1.5498652122564351
52	1.0837718467450372	1.5974364340510476	1.0837718467450372	1.5974364340510476	1.0837718467450372	1.5974364340510476	1.0837718467450372	1.5974364340510476	1.0837718467450372	6.642847033593881	1.0837718467450372	1.5974364340510476	1.0837718467450372	3.094665694344002	1.0837718467450372	1.5974364340510476
53	1.072962307575068	1.46614041368926	1.072962307575068	1.46614041368926	1.072962307575068	1.46614041368926	1.072962307575068	1.4998815429414947	1.072962307575068	6.894675455383862	1.072962307575068	1.46614041368926	1.072962307575068	2.926880062818242	1.072962307575068	1.46614041368926
54	1.054444762599843	1.5755874981504405	1.054444762599843	1.5755874981504405	1.054444762599843	1.5755874981504405	1.054444762599843	1.5554310953214951	1.054444762599843	6.594067547385805	1.054444762599843	1.5755874981504405	1.054444762599843	2.870559924087928	1.054444762599843	1.5755874981504405
55	1.143055182908995	1.5839614564384874	1.143055182908995	1.5839614564384874	1.143055182908995	1.5839614564384874	1.143055182908995	1.5839614564384874	1.143055182908995	7.150218158112494	1.143055182908995	1.5839614564384874	1.143055182908995	3.36462889502252	1.143055182908995	1.609248153797978
56	1.0359592352085372	1.4736167109736868	1.0359592352085372	1.4736167109736868	1.0359592352085372	1.4736167109736868	1.0359592352085372	1.5678153081796893	1.0359592352085372	7.317381607231738	1.0359592352085372	1.4736167109736868	1.0359592352085372	3.018953266735025	1.0359592352085372	1.4736167109736868
57	1.0606768744244164	1.471555355127947	1.0606768744244164	1.471555355127947	1.0606768744244164	1.6438206653546104	1.0606768744244164	1.471555355127947	1.0606768744244164	6.705949042613668	1.0606768744244164	1.471555355127947	1.0606768744244164	3.148520056315874	1.0606768744244164	1.558020426707884
58	1.1054302235015996	1.501114522351088	1.1054302235015996	1.501114522351088	1.1054302235015996	1.5349511548087946	1.1054302235015996	1.501114522351088	1.1054302235015996	7.2221661037928016	1.1054302235015996	1.501114522351088	1.1054302235015996	2.9686850436152383	1.1054302235015996	1.501114522351088
59	1.0939223376069265	1.5133598610195804	1.0939223376069265	1.5133598610195804	1.0939223376069265	1.5133598610195804	1.0939223376069265	1.5469177384232182	1.0939223376069265	6.480564901722033	1.0939223376069265	1.5133598610195804	1.0939223376069265	3.04187596292968	1.0939223376069265	1.5469177384232182
60	1.132197813287604	1.5034232014886015	1.132197813287604	1.5034232014886015	1.132197813287604	1.6507510163515917	1.132197813287604	1.5034232014886015	1.132197813287604	7.1496378991705285	1.132197813287604	1.5034232014886015	1.132197813287604	3.141768446807447	1.132197813287604	1.5034232014886015
