#node	date	numeric date
A/Wood_Duck/Minnesota/USDA-011225-001/2022|EPI_ISL_18132538|2022-04-05	2022-04-05	2022.258904
NODE_0000161	2022-04-05	2022.258904
A/goose/Minnesota/USDA-010355-002/2022|EPI_ISL_18133435|2022-04-05	2022-04-05	2022.258904
NODE_0000162	2022-04-12	2022.277364
NODE_0002784	2022-09-07	2022.682204
A/duck/North_Carolina/W22-1114A/2022|EPI_ISL_17373074|2022-12-01	2022-12-01	2022.916438
NODE_0002785	2023-01-19	2023.051303
A/turkey_vulture/New_York/23-011005-001-original/2023|EPI_ISL_17964924|2023-04-06	2023-04-06	2023.261644
A/red-tailed_hawk/Pennsylvania/23-009488-001-original/2023|EPI_ISL_17964916|2023-03-03	2023-03-03	2023.168493
NODE_0000165	2023-04-09	2023.269145
NODE_0000166	2023-04-09	2023.269863
A/chicken/New_York/NYCVH-168127/2023|EPI_ISL_19101498|2023-04-09	2023-04-09	2023.269863
A/chicken/NewYork/NYCVH-168127/2023|EPI_ISL_19075357|2023-04-09	2023-04-09	2023.269863
NODE_0002789	2023-08-14	2023.618767
A/chicken/New_Jersey/23-027703-001-original/2023|EPI_ISL_18731617|2023-09-13	2023-09-13	2023.700000
NODE_0000168	2023-09-13	2023.700000
A/guinea_fowl/New_Jersey/23-027703-012-original/2023|EPI_ISL_18731619|2023-09-13	2023-09-13	2023.700000
A/Muscovy_duck/New_Jersey/23-027703-003-original/2023|EPI_ISL_18731618|2023-09-13	2023-09-13	2023.700000
NODE_0000169	2022-04-12	2022.278082
A/Great_Horned_Owl/Minnesota/USDA-012032-001/2022|EPI_ISL_18133440|2022-04-12	2022-04-12	2022.278082
NODE_0000170	2022-04-15	2022.285583
A/Wood_Duck/Minnesota/USDA-012773-003/2022|EPI_ISL_18132489|2022-04-15	2022-04-15	2022.286301
NODE_0000171	2022-04-15	2022.286301
A/Red-tailed_Hawk/Minnesota/USDA-011871-004/2022|EPI_ISL_18132375|2022-04-15	2022-04-15	2022.286301
NODE_0000172	2022-04-18	2022.294521
A/American_Crow/Minnesota/USDA-012003-001/2022|EPI_ISL_18133065|2022-04-18	2022-04-18	2022.294521
NODE_0000173	2022-04-21	2022.302740
A/Snow_Goose/North_Dakota/USDA-013138-001/2022|EPI_ISL_18132305|2022-04-21	2022-04-21	2022.302740
NODE_0000174	2022-04-22	2022.304761
NODE_0000175	2022-04-22	2022.305479
A/Red-shouldered_Hawk/Minnesota/USDA-012931-009/2022|EPI_ISL_18132456|2022-04-22	2022-04-22	2022.305479
A/domestic_duck/Michigan/22-012454-001-original/2022|EPI_ISL_16171406|2022-04-22	2022-04-22	2022.305479
NODE_0000176	2022-04-22	2022.305479
