Province,Common Name,Scientific Name,Animal Class,Bird Group,Collection Date,Status,Result,Strain,Lineage,Result Authorised Date,CCSNAME
Ontario,Trumpeter Swan,Cygnus buccinator,Avian,Waterfowl,10/28/22,Dead,Confirmed,H5N1,Reassortment EU&NA,11/8/22,Erin
Manitoba,Red-Tailed Hawk,Buteo jamaicensis,Avian,Raptor,10/28/22,Dead,Confirmed,H5N1,Reassortment EU&NA,12/1/22,Emerson-Franklin
Quebec,Canada Goose,Branta canadensis,Avian,Waterfowl,10/28/22,Dead,Confirmed,H5N1,Reassortment EU&NA,12/20/22,Québec
Quebec,Red-Tailed Hawk,Buteo jamaicensis,Avian,Raptor,10/30/22,Dead,Confirmed,H5N1,Reassortment EU&NA,11/17/22,L'Ange-Gardien
Ontario,Canada Goose,Branta canadensis,Avian,Waterfowl,10/30/22,Dead,Confirmed,H5N1,Reassortment EU&NA,12/7/22,Ottawa
Ontario,American Crow,Corvus brachyrhynchos,Avian,Corvid,10/30/22,Dead,Confirmed,H5N1,Reassortment EU&NA,4/28/23,Fort Erie
British Columbia,Snow Goose,Anser caerulescens,Avian,Waterfowl,10/31/22,NA,Confirmed,H5N1,Reassortment EU&NA,9/11/23,Richmond
Saskatchewan,Bald Eagle,Haliaeetus leucocephalus,Avian,Raptor,11/1/22,Dead,Confirmed,H5N1,Reassortment EU&NA,11/23/23,Wood River No. 74
Quebec,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/2/22,Dead,Confirmed,H5N1,Reassortment EU&NA,11/30/22,Victoriaville
Quebec,Canada Goose,Branta canadensis,Avian,Waterfowl,11/2/22,Dead,Confirmed,H5N1,Reassortment EU&NA,12/20/22,Magog
Yukon,Bald Eagle,Haliaeetus leucocephalus,Avian,Raptor,11/3/22,Dead,Confirmed,H5N1,Reassortment EU&NA,9/11/23,"Yukon, Unorganized"
British Columbia,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/6/22,Dead,Confirmed,H5N1,Reassortment EU&NA,3/10/23,Nanaimo G
Quebec,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/7/22,Dead,Confirmed,H5N1,Reassortment EU&NA,1/25/23,Victoriaville
Alberta,Striped Skunk,Mephitis mephitis,Mammal,,11/8/22,NA,Confirmed,H5N1,Reassortment EU&NA,11/30/22,Camrose County
Alberta,Striped Skunk,Mephitis mephitis,Mammal,,11/8/22,NA,Confirmed,H5N1,Reassortment EU&NA,11/30/22,Camrose County
British Columbia,Trumpeter Swan,Cygnus buccinator,Avian,Waterfowl,11/9/22,Dead,Confirmed,H5N1,Reassortment EU&NA,9/11/23,Abbotsford
British Columbia,Canada Goose,Branta canadensis,Avian,Waterfowl,11/9/22,Dead,Confirmed,H5N1,Reassortment EU&NA,3/10/23,Kitimat-Stikine C (Part 1)
Saskatchewan,Rough-Legged Hawk,Buteo lagopus,Avian,Raptor,11/10/22,Dead,Confirmed,H5Nx,Unknown,11/23/23,Gravelbourg No. 104
Ontario,Raccoon,Procyon lotor,Mammal,,11/10/22,Dead,Confirmed,H5N1,Reassortment EU&NA,12/7/22,Toronto
Quebec,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/11/22,Dead,Confirmed,H5N1,Reassortment EU&NA,7/26/23,Sainte-Martine
Quebec,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/11/22,Dead,Confirmed,H5N1,Reassortment EU&NA,6/21/23,Drummondville
Alberta,Mallard,Anas platyrhynchos,Avian,Waterfowl,11/12/22,NA,Confirmed,H5N1,Reassortment EU&NA,12/23/22,Calgary
British Columbia,Bald Eagle,Haliaeetus leucocephalus,Avian,Raptor,11/12/22,Dead,Confirmed,H5N1,Reassortment EU&NA,10/6/23,Abbotsford
British Columbia,Trumpeter Swan,Cygnus buccinator,Avian,Waterfowl,11/14/22,Dead,Confirmed,H5N1,Reassortment EU&NA,9/11/23,Abbotsford
Quebec,American Crow,Corvus brachyrhynchos,Avian,Corvid,11/14/22,Dead,Confirmed,H5N1,Reassortment EU&NA,12/14/22,Saint-Charles-de-Bellechasse
British Columbia,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/14/22,Dead,Confirmed,H5N1,Reassortment EU&NA,9/11/23,Richmond
British Columbia,Great Blue Heron,Ardea herodias,Avian,Other,11/14/22,Dead,Confirmed,H5N1,Reassortment EU&NA,9/11/23,Fraser Valley E
British Columbia,Cackling Goose,Branta hutchinsii,Avian,Waterfowl,11/14/22,Dead,Confirmed,H5N1,Reassortment EU&NA,9/11/23,Fraser Valley E
Quebec,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/14/22,Dead,Confirmed,H5N1,Reassortment EU&NA,12/14/22,Saint-Charles-de-Bellechasse
Quebec,American Crow,Corvus brachyrhynchos,Avian,Corvid,11/14/22,Dead,Confirmed,H5N1,Reassortment EU&NA,12/14/22,Saint-Charles-de-Bellechasse
Quebec,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/14/22,Dead,Confirmed,H5N1,Reassortment EU&NA,12/14/22,Saint-Charles-de-Bellechasse
British Columbia,Wood Duck,Aix sponsa,Avian,Waterfowl,11/14/22,Dead,Confirmed,H5N1,Fully Eurasian,3/10/23,Surrey
Alberta,Black-billed Magpie,Pica hudsonia,Avian,Corvid,11/14/22,NA,Confirmed,H5N1,Fully Eurasian,12/23/22,Calgary
British Columbia,Cackling Goose,Branta hutchinsii,Avian,Waterfowl,11/14/22,Dead,Confirmed,H5N1,Reassortment EU&NA,9/11/23,Fraser Valley E
Manitoba,Striped Skunk,Mephitis mephitis,Mammal,,11/14/22,Dead,Confirmed,H5N1,Reassortment EU&NA,12/1/22,Ste. Rose
Manitoba,Striped skunk,Mephitis mephitis,Mammal,,11/14/22,Dead,Confirmed,H5N1,Reassortment EU&NA,12/1/22,Ste. Rose
Manitoba,Striped skunk,Mephitis mephitis,Mammal,,11/14/22,Dead,Confirmed,H5N1,Reassortment EU&NA,12/1/22,Ste. Rose
Prince Edward Island,Striped Skunk,Mephitis mephitis,Mammal,,11/15/22,Dead,Confirmed,H5N1,Reassortment EU&NA,4/28/23,New London
New Brunswick,Laridae (Gulls And Terns),Laridae,Avian,Seabird,11/16/22,Dead,Confirmed,H5N1,Reassortment EU&NA,12/8/22,Saint Martins
British Columbia,Bald Eagle,Haliaeetus leucocephalus,Avian,Raptor,11/16/22,Dead,Confirmed,H5N1,Reassortment EU&NA,9/11/23,Thompson-Nicola I (Blue Sky Country)
Quebec,Herring Gull,Larus argentatus,Avian,Seabird,11/17/22,Dead,Confirmed,H5N1,Reassortment EU&NA,12/14/22,Saint-Jean-sur-Richelieu
Quebec,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/17/22,Dead,Confirmed,H5N1,Reassortment EU&NA,6/21/23,Saint-Eugène-d'Argentenay
British Columbia,Canada Goose,Branta canadensis,Avian,Waterfowl,11/18/22,Dead,Confirmed,H5N1,Reassortment EU&NA,9/11/23,North Coast D
British Columbia,Red-Tailed Hawk,Buteo jamaicensis,Avian,Raptor,11/18/22,Dead,Confirmed,H5N1,Reassortment EU&NA,3/10/23,Abbotsford
British Columbia,Great Horned Owl,Bubo virginianus,Avian,Raptor,11/18/22,Dead,Confirmed,H5N1,Reassortment EU&NA,3/10/23,Langley
Quebec,Canada Goose,Branta canadensis,Avian,Waterfowl,11/18/22,Dead,Confirmed,H5N1,Reassortment EU&NA,12/14/22,Québec
British Columbia,Mallard,Anas platyrhynchos,Avian,Waterfowl,11/19/22,NA,Confirmed,H5N1,Reassortment EU&NA,9/11/23,Abbotsford
British Columbia,Mallard,Anas platyrhynchos,Avian,Waterfowl,11/19/22,NA,Confirmed,H5N1,Reassortment EU&NA,9/11/23,Abbotsford
British Columbia,Canada Goose,Branta canadensis,Avian,Waterfowl,11/19/22,Dead,Confirmed,H5N1,Reassortment EU&NA,9/11/23,Okanagan-Similkameen C
British Columbia,Canada Goose,Branta canadensis,Avian,Waterfowl,11/20/22,Dead,Confirmed,H5N1,Reassortment EU&NA,9/11/23,qathet A
British Columbia,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/20/22,Dead,Confirmed,H5N1,Reassortment EU&NA,9/11/23,Richmond
British Columbia,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/20/22,Dead,Confirmed,H5N1,Reassortment EU&NA,9/11/23,Richmond
British Columbia,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/20/22,Dead,Confirmed,H5N1,Reassortment EU&NA,9/11/23,Richmond
British Columbia,Great Blue Heron,Ardea herodias,Avian,Other,11/20/22,Dead,Confirmed,H5N1,Reassortment EU&NA,9/11/23,Langley
British Columbia,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/20/22,Dead,Confirmed,H5N1,Reassortment EU&NA,9/11/23,Richmond
British Columbia,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/20/22,Dead,Confirmed,H5N1,Reassortment EU&NA,9/11/23,Delta
Quebec,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/21/22,Dead,Confirmed,H5N1,Reassortment EU&NA,6/21/23,Saint-Césaire
British Columbia,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/21/22,Dead,Confirmed,H5N1,Fully Eurasian,9/11/23,Delta
Quebec,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/21/22,Dead,Confirmed,H5N1,Reassortment EU&NA,12/14/22,Saint-Jean-sur-Richelieu
British Columbia,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/21/22,Dead,Confirmed,H5N1,Reassortment EU&NA,9/11/23,Delta
British Columbia,Glaucous-winged Gull,Larus glaucescens,Avian,Seabird,11/21/22,Dead,Confirmed,H5N1,Reassortment EU&NA,3/10/23,Delta
British Columbia,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/21/22,Dead,Confirmed,H5N1,Reassortment EU&NA,9/11/23,Delta
British Columbia,Red-Tailed Hawk,Buteo jamaicensis,Avian,Raptor,11/21/22,Dead,Confirmed,H5N1,Reassortment EU&NA,3/10/23,Delta
British Columbia,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/21/22,NA,Confirmed,H5N1,Reassortment EU&NA,9/11/23,Abbotsford
Quebec,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/22/22,Dead,Confirmed,H5N1,Reassortment EU&NA,12/14/22,Saint-Jean-sur-Richelieu
British Columbia,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/22/22,Dead,Confirmed,H5N1,Reassortment EU&NA,9/11/23,Richmond
Quebec,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/22/22,Dead,Confirmed,H5N1,Reassortment EU&NA,3/7/23,Saint-Jean-sur-Richelieu
Quebec,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/22/22,Dead,Confirmed,H5N1,Reassortment EU&NA,1/9/23,Saint-Jean-sur-Richelieu
Quebec,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/22/22,Dead,Confirmed,H5N1,Reassortment EU&NA,12/14/22,Saint-Jean-sur-Richelieu
British Columbia,Peregrine Falcon,Falco peregrinus,Avian,Raptor,11/22/22,Dead,Confirmed,H5N1,Reassortment EU&NA,9/11/23,Richmond
Quebec,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/22/22,Dead,Confirmed,H5N1,Reassortment EU&NA,12/14/22,Saint-Jean-sur-Richelieu
Quebec,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/22/22,Dead,Confirmed,H5N1,Reassortment EU&NA,1/9/23,Saint-Jean-sur-Richelieu
Quebec,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/22/22,Dead,Confirmed,H5N1,Reassortment EU&NA,1/9/23,Saint-Jean-sur-Richelieu
British Columbia,American Crow,Corvus brachyrhynchos,Avian,Corvid,11/22/22,Dead,Confirmed,H5N1,Reassortment EU&NA,3/10/23,Abbotsford
Quebec,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/22/22,Dead,Confirmed,H5N1,Reassortment EU&NA,12/14/22,Saint-Jean-sur-Richelieu
Quebec,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/22/22,Dead,Confirmed,H5N1,Reassortment EU&NA,12/14/22,Saint-Jean-sur-Richelieu
Quebec,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/22/22,Dead,Confirmed,H5N1,Reassortment EU&NA,12/14/22,Saint-Jean-sur-Richelieu
Quebec,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/22/22,Dead,Confirmed,H5N1,Reassortment EU&NA,12/14/22,Saint-Jean-sur-Richelieu
Quebec,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/22/22,Dead,Confirmed,H5N1,Reassortment EU&NA,12/14/22,Saint-Jean-sur-Richelieu
Quebec,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/22/22,Dead,Confirmed,H5N1,Reassortment EU&NA,1/9/23,Saint-Jean-sur-Richelieu
Quebec,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/22/22,Dead,Confirmed,H5N1,Reassortment EU&NA,12/14/22,Saint-Jean-sur-Richelieu
Quebec,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/22/22,Dead,Confirmed,H5N1,Reassortment EU&NA,12/14/22,Saint-Jean-sur-Richelieu
Quebec,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/22/22,Dead,Confirmed,H5N1,Reassortment EU&NA,1/9/23,Saint-Jean-sur-Richelieu
Quebec,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/22/22,Dead,Confirmed,H5N1,Reassortment EU&NA,12/14/22,Saint-Jean-sur-Richelieu
Quebec,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/22/22,Dead,Confirmed,H5N1,Reassortment EU&NA,12/14/22,Saint-Jean-sur-Richelieu
British Columbia,American Crow,Corvus brachyrhynchos,Avian,Corvid,11/23/22,Dead,Confirmed,H5N1,Reassortment EU&NA,3/10/23,Fraser Valley E
British Columbia,American Crow,Corvus brachyrhynchos,Avian,Corvid,11/23/22,Dead,Confirmed,H5N1,Reassortment EU&NA,3/10/23,Delta
Quebec,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/23/22,Dead,Confirmed,H5N1,Reassortment EU&NA,12/14/22,Farnham
Quebec,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/23/22,Dead,Confirmed,H5N1,Reassortment EU&NA,12/14/22,Farnham
British Columbia,American Crow,Corvus brachyrhynchos,Avian,Corvid,11/23/22,Dead,Confirmed,H5N1,Reassortment EU&NA,9/11/23,Vancouver
Prince Edward Island,American Black Duck,Anas rubripes,Avian,Waterfowl,11/23/22,Harvest,Confirmed,H5N1,Reassortment EU&NA,4/4/23,New Glasgow
Alberta,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/24/22,NA,Confirmed,H5N1,Reassortment EU&NA,12/23/22,Edmonton
Alberta,Canada Goose,Branta canadensis,Avian,Waterfowl,11/24/22,NA,Confirmed,H5N1,Reassortment EU&NA,12/23/22,Parkland County
Alberta,Canada Goose,Branta canadensis,Avian,Waterfowl,11/24/22,NA,Confirmed,H5N1,Reassortment EU&NA,12/23/22,Leduc County
Quebec,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/24/22,Dead,Confirmed,H5N1,Reassortment EU&NA,1/9/23,Saint-Paul-d'Abbotsford
Quebec,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/24/22,Dead,Confirmed,H5N1,Reassortment EU&NA,4/12/23,Sainte-Clotilde-de-Horton
Manitoba,Black-billed Magpie,Pica hudsonia,Avian,Corvid,11/24/22,Dead,Confirmed,H5N1,Reassortment EU&NA,12/23/22,Portage la Prairie
British Columbia,Peregrine Falcon,Falco peregrinus,Avian,Raptor,11/24/22,Dead,Confirmed,H5N1,Reassortment EU&NA,3/28/23,Delta
British Columbia,American Crow,Corvus brachyrhynchos,Avian,Corvid,11/24/22,NA,Confirmed,H5N1,Reassortment EU&NA,7/7/23,Vancouver
Alberta,Bald Eagle,Haliaeetus leucocephalus,Avian,Raptor,11/24/22,NA,Confirmed,H5N1,Reassortment EU&NA,12/23/22,Pincher Creek No. 9
Quebec,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/24/22,Dead,Confirmed,H5N1,Reassortment EU&NA,12/14/22,Saint-Paul-d'Abbotsford
Quebec,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/24/22,Dead,Confirmed,H5N1,Reassortment EU&NA,1/9/23,Saint-Paul-d'Abbotsford
British Columbia,Trumpeter Swan,Cygnus buccinator,Avian,Waterfowl,11/24/22,Dead,Confirmed,H5N1,Reassortment EU&NA,9/11/23,Fraser Valley E
Quebec,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/24/22,Dead,Confirmed,H5N1,Reassortment EU&NA,12/14/22,Saint-Paul-d'Abbotsford
Quebec,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/24/22,Dead,Confirmed,H5N1,Reassortment EU&NA,1/9/23,Saint-Paul-d'Abbotsford
Quebec,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/24/22,Dead,Confirmed,H5N1,Reassortment EU&NA,1/9/23,Saint-Paul-d'Abbotsford
Quebec,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/24/22,Dead,Confirmed,H5N1,Reassortment EU&NA,12/14/22,Rougemont
British Columbia,Trumpeter Swan,Cygnus buccinator,Avian,Waterfowl,11/25/22,Dead,Confirmed,H5N1,Reassortment EU&NA,10/6/23,Strathcona D (Oyster Bay - Buttle Lake)
Quebec,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/25/22,Dead,Confirmed,H5N1,Reassortment EU&NA,6/22/23,Victoriaville
Ontario,Cackling Goose,Branta hutchinsii,Avian,Waterfowl,11/26/22,Dead,Confirmed,H5N1,Reassortment EU&NA,12/8/22,Saugeen Shores
British Columbia,Trumpeter Swan,Cygnus buccinator,Avian,Waterfowl,11/26/22,NA,Confirmed,H5N1,Reassortment EU&NA,7/7/23,Fraser Valley D
British Columbia,Red-Tailed Hawk,Buteo jamaicensis,Avian,Raptor,11/26/22,Dead,Confirmed,H5N1,Fully Eurasian,3/10/23,Surrey
British Columbia,Trumpeter Swan,Cygnus buccinator,Avian,Waterfowl,11/26/22,NA,Confirmed,H5N1,Reassortment EU&NA,7/7/23,Fraser Valley D
British Columbia,Cackling Goose,Branta hutchinsii,Avian,Waterfowl,11/26/22,Dead,Confirmed,H5N1,Reassortment EU&NA,3/10/23,Fraser Valley D
British Columbia,Great Horned Owl,Bubo virginianus,Avian,Raptor,11/27/22,Dead,Confirmed,H5N1,Reassortment EU&NA,3/10/23,Delta
British Columbia,Snow Goose,Anser caerulescens,Avian,Waterfowl,11/27/22,Dead,Confirmed,H5N1,Reassortment EU&NA,3/10/23,Delta
Quebec,Canada Goose,Branta canadensis,Avian,Waterfowl,11/27/22,Dead,Confirmed,H5N1,Reassortment EU&NA,12/14/22,Acton Vale
Ontario,American Crow,Corvus brachyrhynchos,Avian,Corvid,11/27/22,Dead,Confirmed,H5N1,Reassortment EU&NA,12/8/22,Chatham-Kent
British Columbia,Glaucous-winged Gull,Larus glaucescens,Avian,Seabird,11/27/22,NA,Confirmed,H5N1,Reassortment EU&NA,9/11/23,Richmond
