#node	date	numeric date
A/Nevada/49/2023|EPI_ISL_18669613|2023-11-15	2023-11-15	2023.872603
NODE_0000131	2023-02-11	2023.113000
A/Michigan/88/2023|EPI_ISL_18934489|2023-12-23	2023-12-23	2023.976712
A/North_Dakota/27/2023|EPI_ISL_18527360|2023-10-09	2023-10-09	2023.771233
NODE_0000133	2023-01-19	2023.051019
A/Michigan/UM-L371417244/2023|EPI_ISL_18739123|2023-11-17	2023-11-17	2023.878082
A/Arizona/57/2023|EPI_ISL_18709321|2023-11-28	2023-11-28	2023.908219
NODE_0000134	2022-10-29	2022.827317
A/Iowa/68/2023|EPI_ISL_18669548|2023-11-15	2023-11-15	2023.872603
NODE_0000135	2023-01-15	2023.039561
A/California/106/2023|EPI_ISL_18669572|2023-11-08	2023-11-08	2023.853425
A/Wisconsin/39/2024|EPI_ISL_19014623|2024-02-24	2024-02-24	2024.148907
A/New_York/PV100545/2023|EPI_ISL_18835638|2023-12-30	2023-12-30	2023.995890
A/Nebraska/16/2023|EPI_ISL_18709239|2023-12-03	2023-12-03	2023.921918
A/New_Mexico/01/2024|EPI_ISL_18991656|2024-01-24	2024-01-24	2024.064208
NODE_0000138	2023-10-21	2023.803838
A/Michigan/UM-RR348042791/2023|EPI_ISL_18869036|2023-12-21	2023-12-21	2023.971233
A/Michigan/UM-L372442994/2023|EPI_ISL_18851777|2023-12-19	2023-12-19	2023.965753
NODE_0000141	2023-08-10	2023.606351
A/New_York/48/2023|EPI_ISL_18607654|2023-11-15	2023-11-15	2023.872603
A/New_Mexico/59/2023|EPI_ISL_18785857|2023-12-17	2023-12-17	2023.960274
NODE_0000143	2023-06-29	2023.491362
A/Texas/32/2023|EPI_ISL_18709283|2023-12-07	2023-12-07	2023.932877
A/Illinois/42/2023|EPI_ISL_18886024|2023-12-27	2023-12-27	2023.987671
NODE_0000161	2024-01-21	2024.056011
A/Arkansas/09/2024|EPI_ISL_18934481|2024-01-21	2024-01-21	2024.056011
A/Arkansas/13/2024|EPI_ISL_18934479|2024-01-24	2024-01-24	2024.064208
NODE_0000176	2023-10-02	2023.752055
A/Utah/35/2023|EPI_ISL_18527359|2023-10-02	2023-10-02	2023.752055
A/Massachusetts/15/2024|EPI_ISL_18991004|2024-01-23	2024-01-23	2024.061475
NODE_0000184	2023-09-23	2023.728560
A/Texas/12/2024|EPI_ISL_18919875|2024-01-16	2024-01-16	2024.042350
A/South_Carolina/01/2024|EPI_ISL_18862800|2024-01-03	2024-01-03	2024.006831
NODE_0000187	2023-07-10	2023.520695
A/Minnesota/ISC-1005/2023|EPI_ISL_18934355|2023-12-03	2023-12-03	2023.921918
A/New_York_City/PV100841/2024|EPI_ISL_19091252|2024-01-05	2024-01-05	2024.012295
NODE_0000164	2023-08-17	2023.626533
A/Colorado/14693/2024|EPI_ISL_18986816|2024-02-21	2024-02-21	2024.140710
NODE_0000165	2023-11-24	2023.897260
A/Idaho/43/2023|EPI_ISL_18709319|2023-11-26	2023-11-26	2023.902740
A/Idaho/41/2023|EPI_ISL_18709295|2023-11-24	2023-11-24	2023.897260
NODE_0000172	2023-08-06	2023.595359
A/Wisconsin/101/2023|EPI_ISL_18669533|2023-11-10	2023-11-10	2023.858904
NODE_0000075	2023-12-19	2023.965753
A/Washington/69/2023|EPI_ISL_18862795|2023-12-25	2023-12-25	2023.982192
A/Arkansas/11/2023|EPI_ISL_18886017|2023-12-19	2023-12-19	2023.965753
NODE_0000167	2023-06-02	2023.417241
A/Washington/BBI-S24526/2023|EPI_ISL_18746642|2023-10-23	2023-10-23	2023.809589
A/California/149/2023|EPI_ISL_18862759|2023-12-25	2023-12-25	2023.982192
NODE_0000077	2023-10-30	2023.828767
A/Pennsylvania/70/2023|EPI_ISL_18586511|2023-10-30	2023-10-30	2023.828767
A/California/141/2023|EPI_ISL_18862740|2023-12-12	2023-12-12	2023.946575
NODE_0000178	2023-05-30	2023.410046
A/Ohio/20/2023|EPI_ISL_18586497|2023-10-21	2023-10-21	2023.804110
NODE_0000182	2023-11-16	2023.874464
A/Oklahoma/14618/2024|EPI_ISL_18948006|2024-02-05	2024-02-05	2024.096995
A/Oklahoma/14621/2024|EPI_ISL_18948009|2024-01-11	2024-01-11	2024.028689
NODE_0000080	2023-11-30	2023.913079
A/New_Jersey/65/2023|EPI_ISL_18862858|2023-12-22	2023-12-22	2023.973973
NODE_0000084	2023-12-01	2023.916438
A/Indiana/09/2023|EPI_ISL_18742657|2023-12-01	2023-12-01	2023.916438
A/Indiana/10/2023|EPI_ISL_18742779|2023-12-01	2023-12-01	2023.916438
NODE_0000194	2023-04-24	2023.310239
A/Illinois/23/2023|EPI_ISL_18709310|2023-11-27	2023-11-27	2023.905479
A/North_Carolina/22/2023|EPI_ISL_18862861|2023-12-16	2023-12-16	2023.957534
A/Arkansas/02/2024|EPI_ISL_18886076|2024-01-04	2024-01-04	2024.009563
A/Georgia/17/2024|EPI_ISL_19014477|2024-02-15	2024-02-15	2024.124317
A/Nebraska/14/2023|EPI_ISL_18709260|2023-12-03	2023-12-03	2023.921918
A/Washington/62/2023|EPI_ISL_18862736|2023-12-06	2023-12-06	2023.930137
NODE_0000087	2023-09-01	2023.667448
A/Maine/14/2024|EPI_ISL_19014459|2024-02-24	2024-02-24	2024.148907
NODE_0000088	2023-11-22	2023.891781
A/Michigan/UM-10054592234/2023|EPI_ISL_18737902|2023-11-22	2023-11-22	2023.891781
NODE_0000092	2023-12-04	2023.924658
A/Idaho/49/2023|EPI_ISL_18742771|2023-12-04	2023-12-04	2023.924658
A/California/160/2023|EPI_ISL_18862770|2023-12-29	2023-12-29	2023.993151
NODE_0000204	2023-07-03	2023.501649
A/Wisconsin/75/2023|EPI_ISL_18527335|2023-10-02	2023-10-02	2023.752055
NODE_0000205	2023-09-13	2023.700294
A/Minnesota/31/2023|EPI_ISL_18586562|2023-10-08	2023-10-08	2023.768493
A/Rhode_Island/RISHL24RES005/2023|EPI_ISL_19073436|2023-12-19	2023-12-19	2023.965753
NODE_0000096	2023-10-12	2023.779452
A/Iowa/59/2023|EPI_ISL_18586495|2023-11-06	2023-11-06	2023.847945
A/Utah/36/2023|EPI_ISL_18527533|2023-10-12	2023-10-12	2023.779452
NODE_0000127	2023-04-16	2023.289485
A/Texas/15/2023|EPI_ISL_18527349|2023-10-09	2023-10-09	2023.771233
NODE_0000130	2023-04-23	2023.308535
NODE_0000146	2023-10-16	2023.790411
A/California/102/2023|EPI_ISL_18586539|2023-11-02	2023-11-02	2023.836986
A/Utah/38/2023|EPI_ISL_18527506|2023-10-16	2023-10-16	2023.790411
NODE_0000137	2023-04-27	2023.320375
A/Ohio/18/2023|EPI_ISL_18586568|2023-10-18	2023-10-18	2023.795890
NODE_0000139	2023-04-29	2023.323942
A/Nevada/31/2023|EPI_ISL_18527532|2023-10-20	2023-10-20	2023.801370
NODE_0000140	2023-05-18	2023.377097
A/Florida/63/2023|EPI_ISL_18919974|2023-11-10	2023-11-10	2023.858904
NODE_0000145	2023-05-28	2023.405247
A/Georgia/69/2023|EPI_ISL_18862575|2023-11-20	2023-11-20	2023.886301
NODE_0000150	2023-06-04	2023.422964
